"","MITO_ID","Entrez_Gene_ID","Gene_name","Symbol"
"36","MT001263",64746,"acyl-CoA binding domain containing 3","ACBD3"
"37","MT000012",47,"ATP citrate lyase","ACLY"
"38","MT001205",57001,"ACN9 homolog (S. cerevisiae)","ACN9"
"39","MT000013",48,"aconitase 1, soluble","ACO1"
"40","MT000014",50,"aconitase 2, mitochondrial","ACO2"
"41","MT001183",55856,"acyl-CoA thioesterase 13","ACOT13"
"42","MT000823",10965,"acyl-CoA thioesterase 2","ACOT2"
"43","MT000852",11332,"acyl-CoA thioesterase 7","ACOT7"
"44","MT000742",10005,"acyl-CoA thioesterase 8","ACOT8"
"45","MT000900",23597,"acyl-CoA thioesterase 9","ACOT9"
"46","MT000015",51,"acyl-CoA oxidase 1, palmitoyl","ACOX1"
"47","MT000652",8310,"acyl-CoA oxidase 3, pristanoyl","ACOX3"
"48","MT001039",51205,"acid phosphatase 6, lysophosphatidic","ACP6"
"49","MT001363",81616,"acyl-CoA synthetase bubblegum family member 2","ACSBG2"
"50","MT001347",80221,"acyl-CoA synthetase family member 2","ACSF2"
"51","MT001585",197322,"acyl-CoA synthetase family member 3","ACSF3"
"52","MT000216",2180,"acyl-CoA synthetase long-chain family member 1","ACSL1"
"53","MT000217",2181,"acyl-CoA synthetase long-chain family member 3","ACSL3"
"54","MT000218",2182,"acyl-CoA synthetase long-chain family member 4","ACSL4"
"55","MT001070",51703,"acyl-CoA synthetase long-chain family member 5","ACSL5"
"56","MT000879",23305,"acyl-CoA synthetase long-chain family member 6","ACSL6"
"57","MT001497",116285,"acyl-CoA synthetase medium-chain family member 1","ACSM1"
"58","MT001513",123876,"acyl-CoA synthetase medium-chain family member 2A","ACSM2A"
"59","MT001644",348158,"acyl-CoA synthetase medium-chain family member 2B","ACSM2B"
"60","MT000546",6296,"acyl-CoA synthetase medium-chain family member 3","ACSM3"
"61","MT001640",341392,"acyl-CoA synthetase medium-chain family member 4","ACSM4"
"62","MT001114",54988,"acyl-CoA synthetase medium-chain family member 5","ACSM5"
"63","MT001555",142827,"acyl-CoA synthetase medium-chain family member 6","ACSM6"
"64","MT001411",84532,"acyl-CoA synthetase short-chain family member 1","ACSS1"
"65","MT001314",79611,"acyl-CoA synthetase short-chain family member 3","ACSS3"
"66","MT000016",98,"acylphosphatase 2, muscle type","ACYP2"
"67","MT000646",8038,"ADAM metallopeptidase domain 12","ADAM12"
"68","MT001179",55803,"ArfGAP with dual PH domains 2","ADAP2"
"69","MT001213",57143,"aarF domain containing kinase 1","ADCK1"
"70","MT001456",90956,"aarF domain containing kinase 2","ADCK2"
"71","MT001204",56997,"aarF domain containing kinase 3","ADCK3"
"72","MT001335",79934,"aarF domain containing kinase 4","ADCK4"
"73","MT001592",203054,"aarF domain containing kinase 5","ADCK5"
"74","MT000017",128,"alcohol dehydrogenase 5 (class III), chi polypeptide","ADH5"
"75","MT001545",137872,"alcohol dehydrogenase, iron containing, 1","ADHFE1"
"76","MT001431",84890,"2-aminoethanethiol (cysteamine) dioxygenase","ADO"
"77","MT001103",54936,"ADP-ribosylhydrolase like 2","ADPRHL2"
"78","MT000961",27125,"AF4/FMR2 family, member 4","AFF4"
"79","MT000819",10939,"AFG3-like AAA ATPase 2","AFG3L2"
"80","MT001501",116986,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2","AGAP2"
"81","MT001175",55750,"acylglycerol kinase","AGK"
"82","MT001329",79814,"agmatine ureohydrolase (agmatinase)","AGMAT"
"83","MT001154",55326,"1-acylglycerol-3-phosphate O-acyltransferase 5","AGPAT5"
"84","MT000662",8540,"alkylglycerone phosphate synthase","AGPS"
"85","MT000791",10551,"anterior gradient 2","AGR2"
"86","MT000877",23287,"ATP/GTP binding protein 1","AGTPBP1"
"87","MT000018",189,"alanine-glyoxylate aminotransferase","AGXT"
"88","MT001271",64902,"alanine--glyoxylate aminotransferase 2","AGXT2"
"89","MT000696",9131,"apoptosis-inducing factor, mitochondrion-associated, 1","AIFM1"
"90","MT001430",84883,"apoptosis-inducing factor, mitochondrion-associated, 2","AIFM2"
"91","MT001559",150209,"apoptosis-inducing factor, mitochondrion-associated, 3","AIFM3"
"92","MT000693",9049,"aryl hydrocarbon receptor interacting protein","AIP"
"93","MT000019",204,"adenylate kinase 2","AK2"
"94","MT001005",50808,"adenylate kinase 3","AK3"
"95","MT000020",205,"adenylate kinase 4","AK4"
"96","MT000648",8165,"A kinase (PRKA) anchor protein 1","AKAP1"
"97","MT000846",11216,"A kinase (PRKA) anchor protein 10","AKAP10"
"98","MT000766",10270,"A kinase (PRKA) anchor protein 8","AKAP8"
"99","MT000021",207,"v-akt murine thymoma viral oncogene homolog 1","AKT1"
"100","MT000741",10000,"v-akt murine thymoma viral oncogene homolog 3","AKT3"
"101","MT000022",211,"5'-aminolevulinate synthase 1","ALAS1"
"102","MT000023",212,"5'-aminolevulinate synthase 2","ALAS2"
"103","MT000024",213,"albumin","ALB"
"104","MT000526",5832,"aldehyde dehydrogenase 18 family, member A1","ALDH18A1"
"105","MT000027",219,"aldehyde dehydrogenase 1 family, member B1","ALDH1B1"
"106","MT000808",10840,"aldehyde dehydrogenase 1 family, member L1","ALDH1L1"
"107","MT001571",160428,"aldehyde dehydrogenase 1 family, member L2","ALDH1L2"
"108","MT000026",217,"aldehyde dehydrogenase 2 family (mitochondrial)","ALDH2"
"109","MT000029",224,"aldehyde dehydrogenase 3 family, member A2","ALDH3A2"
"110","MT000668",8659,"aldehyde dehydrogenase 4 family, member A1","ALDH4A1"
"111","MT000640",7915,"aldehyde dehydrogenase 5 family, member A1","ALDH5A1"
"112","MT000361",4329,"aldehyde dehydrogenase 6 family, member A1","ALDH6A1"
"113","MT000050",501,"aldehyde dehydrogenase 7 family, member A1","ALDH7A1"
"114","MT000028",223,"aldehyde dehydrogenase 9 family, member A1","ALDH9A1"
"115","MT000031",230,"aldolase C, fructose-bisphosphate","ALDOC"
"116","MT000685",8846,"alkB, alkylation repair homolog 1 (E. coli)","ALKBH1"
"117","MT001599",221120,"alkB, alkylation repair homolog 3 (E. coli)","ALKBH3"
"118","MT001397",84266,"alkB, alkylation repair homolog 7 (E. coli)","ALKBH7"
"119","MT000032",239,"arachidonate 12-lipoxygenase","ALOX12"
"120","MT000901",23600,"α-methylacyl-CoA racemase","AMACR"
"121","MT001166",55626,"autophagy/beclin-1 regulator 1","AMBRA1"
"122","MT000033",275,"aminomethyltransferase","AMT"
"123","MT000037",301,"annexin A1","ANXA1"
"124","MT000844",11199,"annexin A10","ANXA10"
"125","MT000121",1173,"adaptor-related protein complex 2, mu 1 subunit","AP2M1"
"126","MT000039",328,"APEX nuclease (multifunctional DNA repair enzyme) 1","APEX1"
"127","MT000969",27301,"APEX nuclease (apurinic/apyrimidinic endonuclease) 2","APEX2"
"128","MT001524",128240,"apolipoprotein A-I binding protein","APOA1BP"
"129","MT001307",79135,"apolipoprotein O","APOO"
"130","MT001548",139322,"apolipoprotein O-like","APOOL"
"131","MT001408",84334,"apoptogenic 1, mitochondrial","APOPT1"
"132","MT000040",369,"A-Raf proto-oncogene, serine/threonine kinase","ARAF"
"133","MT000041",384,"arginase 2","ARG2"
"134","MT001131",55082,"arginine and glutamate rich 1","ARGLU1"
"135","MT000042",402,"ADP-ribosylation factor-like 2","ARL2"
"136","MT000896",23568,"ADP-ribosylation factor-like 2 binding protein","ARL2BP"
"137","MT000790",10550,"ADP-ribosylation factor-like 6 interacting protein 5","ARL6IP5"
"138","MT001137",55156,"armadillo repeat containing 1","ARMC1"
"139","MT001382",83787,"armadillo repeat containing 10","ARMC10"
"140","MT001061",51566,"armadillo repeat containing, X-linked 3","ARMCX3"
"141","MT001653",387715,"age-related maculopathy susceptibility 2","ARMS2"
"142","MT000043",409,"arrestin, β 2","ARRB2"
"143","MT000044",411,"arylsulfatase B","ARSB"
"144","MT001220",57412,"arsenite methyltransferase","AS3MT"
"145","MT001193",56624,"N-acylsphingosine amidohydrolase (non-lysosomal ceramidase) 2","ASAH2"
"146","MT001550",140462,"ankyrin repeat and SOCS box containing 9","ASB9"
"147","MT000045",445,"argininosuccinate synthase 1","ASS1"
"148","MT001432",84896,"ATPase family, AAA domain containing 1","ATAD1"
"149","MT001145",55210,"ATPase family, AAA domain containing 3A","ATAD3A"
"150","MT001384",83858,"ATPase family, AAA domain containing 3B","ATAD3B"
"151","MT001441",85300,"ataxia, cerebellar, Cayman type","ATCAY"
"152","MT000150",1386,"activating transcription factor 2","ATF2"
"153","MT000697",9140,"autophagy related 12","ATG12"
"154","MT000869",23130,"autophagy related 2A","ATG2A"
"155","MT001133",55102,"autophagy related 2B","ATG2B"
"156","MT001259",64422,"autophagy related 3","ATG3"
"157","MT001490",115201,"autophagy related 4A, cysteine peptidase","ATG4A"
"158","MT000872",23192,"autophagy related 4B, cysteine peptidase","ATG4B"
"159","MT001435",84938,"autophagy related 4C, cysteine peptidase","ATG4C"
"160","MT001438",84971,"autophagy related 4D, cysteine peptidase","ATG4D"
"161","MT000711",9474,"autophagy related 5","ATG5"
"162","MT000788",10533,"autophagy related 7","ATG7"
"163","MT001303",79065,"autophagy related 9A","ATG9A"
"164","MT000047",471,"5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase","ATIC"
"165","MT000048",487,"ATPase, Ca++ transporting, cardiac muscle, fast twitch 1","ATP2A1"
"166","MT000049",498,"ATP synthase, H+ transporting, mitochondrial F1 complex, α subunit 1, cardiac muscle","ATP5A1"
"167","MT000051",506,"ATP synthase, H+ transporting, mitochondrial F1 complex, β polypeptide","ATP5B"
"168","MT000052",509,"ATP synthase, H+ transporting, mitochondrial F1 complex, γ polypeptide 1","ATP5C1"
"169","MT000053",513,"ATP synthase, H+ transporting, mitochondrial F1 complex, δ subunit","ATP5D"
"170","MT000054",514,"ATP synthase, H+ transporting, mitochondrial F1 complex, ε subunit","ATP5E"
"171","MT001670",432369,"ATP synthase, H+ transporting, mitochondrial F1 complex, ε subunit pseudogene 2","ATP5EP2"
"172","MT000055",515,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit B1","ATP5F1"
"173","MT000056",516,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C1 (subunit 9)","ATP5G1"
"174","MT000057",517,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C2 (subunit 9)","ATP5G2"
"175","MT000058",518,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C3 (subunit 9)","ATP5G3"
"176","MT000783",10476,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit d","ATP5H"
"177","MT000059",521,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit E","ATP5I"
"178","MT000060",522,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F6","ATP5J"
"179","MT000720",9551,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F2","ATP5J2"
"180","MT000798",10632,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit G","ATP5L"
"181","MT001614",267020,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit G2","ATP5L2"
"182","MT000064",539,"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit","ATP5O"
"183","MT000959",27109,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit s (factor B)","ATP5S"
"184","MT001132",55101,"ATP5S-like","ATP5SL"
"185","MT000368",4508,"['ATP synthase F0 subunit 6']","ATP6"
"186","MT000061",523,"ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A","ATP6V1A"
"187","MT000062",529,"ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1","ATP6V1E1"
"188","MT000063",538,"ATPase, Cu++ transporting, α polypeptide","ATP7A"
"189","MT000065",540,"ATPase, Cu++ transporting, β polypeptide","ATP7B"
"190","MT000369",4509,"['ATP synthase F0 subunit 8']","ATP8"
"191","MT001265",64756,"ATP synthase mitochondrial F1 complex assembly factor 1","ATPAF1"
"192","MT001462",91647,"ATP synthase mitochondrial F1 complex assembly factor 2","ATPAF2"
"193","MT001476",93974,"ATPase inhibitory factor 1","ATPIF1"
"194","MT000359",4287,"ataxin 3","ATXN3"
"195","MT000066",549,"AU RNA binding protein/enoyl-CoA hydratase","AUH"
"196","MT001117",54998,"aurora kinase A interacting protein 1","AURKAIP1"
"197","MT000067",551,"arginine vasopressin","AVP"
"198","MT001484",113451,"antizyme inhibitor 2","AZIN2"
"199","MT000068",572,"BCL2-associated agonist of cell death","BAD"
"200","MT000069",573,"BCL2-associated athanogene","BAG1"
"201","MT000718",9529,"BCL2-associated athanogene 5","BAG5"
"202","MT000070",578,"BCL2-antagonist/killer 1","BAK1"
"203","MT000071",581,"BCL2-associated X protein","BAX"
"204","MT000960",27113,"BCL2 binding component 3","BBC3"
"205","MT000656",8424,"butyroβine (γ), 2-oxoglutarate dioxygenase (γ-butyroβine hydroxylase) 1","BBOX1"
"206","MT000754",10134,"B-cell receptor-associated protein 31","BCAP31"
"207","MT000072",586,"branched chain amino-acid transaminase 1, cytosolic","BCAT1"
"208","MT000073",587,"branched chain amino-acid transaminase 2, mitochondrial","BCAT2"
"209","MT000074",593,"branched chain keto acid dehydrogenase E1, α polypeptide","BCKDHA"
"210","MT000075",594,"branched chain keto acid dehydrogenase E1, β polypeptide","BCKDHB"
"211","MT000767",10295,"branched chain ketoacid dehydrogenase kinase","BCKDK"
"212","MT000076",596,"B-cell CLL/lymphoma 2","BCL2"
"213","MT000077",597,"BCL2-related protein A1","BCL2A1"
"214","MT000078",598,"BCL2-like 1","BCL2L1"
"215","MT000743",10017,"BCL2-like 10 (apoptosis facilitator)","BCL2L10"
"216","MT000744",10018,"BCL2-like 11 (apoptosis facilitator)","BCL2L11"
"217","MT000908",23786,"BCL2-like 13 (apoptosis facilitator)","BCL2L13"
"218","MT000079",599,"BCL2-like 2","BCL2L2"
"219","MT001385",83875,"β-carotene oxygenase 2","BCO2"
"220","MT000080",617,"BC1 (ubiquinol-cytochrome c reductase) synthesis-like","BCS1L"
"221","MT000081",622,"3-hydroxybutyrate dehydrogenase, type 1","BDH1"
"222","MT001195",56898,"3-hydroxybutyrate dehydrogenase, type 2","BDH2"
"223","MT000082",627,"brain-derived neurotrophic factor","BDNF"
"224","MT000670",8678,"beclin 1, autophagy related","BECN1"
"225","MT000083",631,"beaded filament structural protein 1, filensin","BFSP1"
"226","MT001578",168620,"basic helix-loop-helix family, member a15","BHLHA15"
"227","MT000084",637,"BH3 interacting domain death agonist","BID"
"228","MT000085",638,"BCL2-interacting killer (apoptosis-inducing)","BIK"
"229","MT001669",414899,"BH3-like motif containing, cell death inducer","BLID"
"230","MT000243",2647,"biogenesis of lysosomal organelles complex-1, subunit 1","BLOC1S1"
"231","MT001616",282991,"biogenesis of lysosomal organelles complex-1, subunit 2","BLOC1S2"
"232","MT001451",90427,"Bcl2 modifying factor","BMF"
"233","MT000086",662,"BCL2/adenovirus E1B 19kDa interacting protein 1","BNIP1"
"234","MT000087",664,"BCL2/adenovirus E1B 19kDa interacting protein 3","BNIP3"
"235","MT000088",665,"BCL2/adenovirus E1B 19kDa interacting protein 3-like","BNIP3L"
"236","MT000089",666,"BCL2-related ovarian killer","BOK"
"237","MT001018",51027,"bolA family member 1","BOLA1"
"238","MT001698",100294715,"Polymicrogyria, bilateral occipital","BOP"
"239","MT000090",670,"biphenyl hydrolase-like (serine hydrolase)","BPHL"
"240","MT000091",673,"B-Raf proto-oncogene, serine/threonine kinase","BRAF"
"241","MT000816",10902,"bromodomain containing 8","BRD8"
"242","MT001551",140707,"BRI3 binding protein","BRI3BP"
"243","MT001636",339479,"bone morphogenetic protein/retinoic acid inducible neural-specific 3","BRINP3"
"244","MT000092",682,"basigin (Ok blood group)","BSG"
"245","MT000093",686,"biotinidase","BTD"
"246","MT000703",9256,"benzodiazepine receptor (peripheral) associated protein 1","BZRAP1"
"247","MT000836",11067,"chromosome 10 open reading frame 10","C10orf10"
"248","MT001235",60314,"chromosome 12 open reading frame 10","C12orf10"
"249","MT001461",91574,"chromosome 12 open reading frame 65","C12orf65"
"250","MT001123",55017,"chromosome 14 open reading frame 119","C14orf119"
"251","MT001338",80017,"chromosome 14 open reading frame 159","C14orf159"
"252","MT000722",9556,"chromosome 14 open reading frame 2","C14orf2"
"253","MT001682",643338,"chromosome 15 open reading frame 62","C15orf62"
"254","MT001625",284184,"chromosome 17 open reading frame 89","C17orf89"
"255","MT001377",83636,"chromosome 19 open reading frame 12","C19orf12"
"256","MT001520",125988,"chromosome 19 open reading frame 70","C19orf70"
"257","MT000095",708,"complement component 1, q subcomponent binding protein","C1QBP"
"258","MT000650",8209,"chromosome 21 open reading frame 33","C21orf33"
"259","MT001309",79568,"chromosome 2 open reading frame 47","C2orf47"
"260","MT001665",401207,"chromosome 5 open reading frame 63","C5orf63"
"261","MT001601",221545,"chromosome 6 open reading frame 136","C6orf136"
"262","MT001042",51250,"chromosome 6 open reading frame 203","C6orf203"
"263","MT001567",154791,"chromosome 7 open reading frame 55","C7orf55"
"264","MT001399",84270,"chromosome 9 open reading frame 89","C9orf89"
"265","MT000097",763,"carbonic anhydrase VA, mitochondrial","CA5A"
"266","MT000849",11238,"carbonic anhydrase VB, mitochondrial","CA5B"
"267","MT001639",340591,"carbonic anhydrase VB pseudogene 1","CA5BP1"
"268","MT001442",85438,"calcium-binding protein, spermatid-specific 1","CABS1"
"269","MT000099",815,"calcium/calmodulin-dependent protein kinase II α","CAMK2A"
"270","MT000100",821,"calnexin","CANX"
"271","MT000840",11132,"calpain 10","CAPN10"
"272","MT001294",65981,"caprin family member 2","CAPRIN2"
"273","MT001173",55739,"carbohydrate kinase domain containing","CARKD"
"274","MT001311",79587,"cysteinyl-tRNA synthetase 2, mitochondrial (putative)","CARS2"
"275","MT000101",834,"caspase 1, apoptosis-related cysteine peptidase","CASP1"
"276","MT000102",835,"caspase 2, apoptosis-related cysteine peptidase","CASP2"
"277","MT000103",836,"caspase 3, apoptosis-related cysteine peptidase","CASP3"
"278","MT000104",837,"caspase 4, apoptosis-related cysteine peptidase","CASP4"
"279","MT000105",840,"caspase 7, apoptosis-related cysteine peptidase","CASP7"
"280","MT000106",841,"caspase 8, apoptosis-related cysteine peptidase","CASP8"
"281","MT000739",9994,"caspase 8 associated protein 2","CASP8AP2"
"282","MT000107",842,"caspase 9, apoptosis-related cysteine peptidase","CASP9"
"283","MT000108",844,"calsequestrin 1 (fast-twitch, skeletal muscle)","CASQ1"
"284","MT000109",847,"catalase","CAT"
"285","MT000110",858,"caveolin 2","CAV2"
"286","MT001428",84869,"carbonyl reductase 4","CBR4"
"287","MT001230",57805,"cell cycle and apoptosis regulator 2","CCAR2"
"288","MT001189",56267,"cysteine conjugate-β lyase 2","CCBL2"
"289","MT001121",55013,"coiled-coil domain containing 109B","CCDC109B"
"290","MT001264",64753,"coiled-coil domain containing 136","CCDC136"
"291","MT001320",79714,"coiled-coil domain containing 51","CCDC51"
"292","MT001531",131076,"coiled-coil domain containing 58","CCDC58"
"293","MT001239",60492,"coiled-coil domain containing 90B","CCDC90B"
"294","MT000112",885,"cholecystokinin","CCK"
"295","MT000795",10574,"chaperonin containing TCP1, subunit 7 (eta)","CCT7"
"296","MT001693",100133941,"CD24 molecule","CD24"
"297","MT000810",10849,"CD3e molecule, ε associated protein","CD3EAP"
"298","MT000113",983,"cyclin-dependent kinase 1","CDK1"
"299","MT000114",1022,"cyclin-dependent kinase 7","CDK7"
"300","MT000115",1029,"cyclin-dependent kinase inhibitor 2A","CDKN2A"
"301","MT000676",8760,"CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 2","CDS2"
"302","MT000116",1050,"CCAAT/enhancer binding protein (C/EBP), α","CEBPA"
"303","MT000974",27440,"cat eye syndrome chromosome region, candidate 5","CECR5"
"304","MT001433",84902,"centrosomal protein 89kDa","CEP89"
"305","MT001267",64781,"ceramide kinase","CERK"
"306","MT000911",25790,"cilia and flagella associated protein 45","CFAP45"
"307","MT000117",1103,"choline O-acetyltransferase","CHAT"
"308","MT001503",118487,"coiled-coil-helix-coiled-coil-helix domain containing 1","CHCHD1"
"309","MT001663",400916,"coiled-coil-helix-coiled-coil-helix domain containing 10","CHCHD10"
"310","MT001036",51142,"coiled-coil-helix-coiled-coil-helix domain containing 2","CHCHD2"
"311","MT001684",645345,"coiled-coil-helix-coiled-coil-helix domain containing 2 pseudogene 9","CHCHD2P9"
"312","MT001101",54927,"coiled-coil-helix-coiled-coil-helix domain containing 3","CHCHD3"
"313","MT001533",131474,"coiled-coil-helix-coiled-coil-helix domain containing 4","CHCHD4"
"314","MT001398",84269,"coiled-coil-helix-coiled-coil-helix domain containing 5","CHCHD5"
"315","MT001405",84303,"coiled-coil-helix-coiled-coil-helix domain containing 6","CHCHD6"
"316","MT001308",79145,"coiled-coil-helix-coiled-coil-helix domain containing 7","CHCHD7"
"317","MT001158",55349,"choline dehydrogenase","CHDH"
"318","MT000928",25978,"charged multivesicular body protein 2B","CHMP2B"
"319","MT001310",79586,"chondroitin polymerizing factor","CHPF"
"320","MT001207",57019,"cytokine induced apoptosis inhibitor 1","CIAPIN1"
"321","MT000118",1149,"cell death-inducing DFFA-like effector a","CIDEA"
"322","MT001181",55847,"CDGSH iron sulfur domain 1","CISD1"
"323","MT001678",493856,"CDGSH iron sulfur domain 2","CISD2"
"324","MT001622",284106,"CDGSH iron sulfur domain 3","CISD3"
"325","MT000119",1152,"creatine kinase, brain","CKB"
"326","MT001679",548596,"creatine kinase, mitochondrial 1A","CKMT1A"
"327","MT000120",1160,"creatine kinase, mitochondrial 2 (sarcomeric)","CKMT2"
"328","MT000123",1192,"chloride intracellular channel 1","CLIC1"
"329","MT000922",25932,"chloride intracellular channel 4","CLIC4"
"330","MT000125",1201,"ceroid-lipofuscinosis, neuronal 3","CLN3"
"331","MT000208",2055,"ceroid-lipofuscinosis, neuronal 8 (epilepsy, progressive with mental retardation)","CLN8"
"332","MT001362",81570,"ClpB caseinolytic peptidase B homolog (E. coli)","CLPB"
"333","MT000649",8192,"caseinolytic mitochondrial matrix peptidase proteolytic subunit","CLPP"
"334","MT000809",10845,"caseinolytic mitochondrial matrix peptidase chaperone subunit","CLPX"
"335","MT000126",1213,"clathrin, heavy chain (Hc)","CLTC"
"336","MT000122",1191,"clusterin","CLU"
"337","MT000876",23277,"clustered mitochondria (cluA/CLU1) homolog","CLUH"
"338","MT001580",171425,"citrate lyase β like","CLYBL"
"339","MT001563",152100,"C-x(9)-C motif containing 1","CMC1"
"340","MT001198",56942,"C-x(9)-C motif containing 2","CMC2"
"341","MT001696",100272147,"C-x(9)-C motif containing 4","CMC4"
"342","MT001528",129607,"cytidine monophosphate (UMP-CMP) kinase 2, mitochondrial","CMPK2"
"343","MT000127",1267,"2',3'-cyclic nucleotide 3' phosphodiesterase","CNP"
"344","MT001174",55744,"cytochrome c oxidase assembly factor 1 homolog (S. cerevisiae)","COA1"
"345","MT000976",28958,"cytochrome c oxidase assembly factor 3","COA3"
"346","MT001049",51287,"cytochrome c oxidase assembly factor 4 homolog (S. cerevisiae)","COA4"
"347","MT001677",493753,"cytochrome c oxidase assembly factor 5","COA5"
"348","MT001656",388753,"cytochrome c oxidase assembly factor 6","COA6"
"349","MT001293",65260,"cytochrome c oxidase assembly factor 7 (putative)","COA7"
"350","MT001357",80347,"CoA synthase","COASY"
"351","MT000749",10087,"collagen, type IV, α 3 (Goodpasture antigen) binding protein","COL4A3BP"
"352","MT000128",1312,"catechol-O-methyltransferase","COMT"
"353","MT001505",118881,"catechol-O-methyltransferase domain containing 1","COMTD1"
"354","MT001474",93058,"coenzyme Q10 homolog A (S. cerevisiae)","COQ10A"
"355","MT001346",80219,"coenzyme Q10 homolog B (S. cerevisiae)","COQ10B"
"356","MT000966",27235,"coenzyme Q2 4-hydroxybenzoate polyprenyltransferase","COQ2"
"357","MT001075",51805,"coenzyme Q3 methyltransferase","COQ3"
"358","MT001035",51117,"coenzyme Q4","COQ4"
"359","MT001401",84274,"coenzyme Q5 homolog, methyltransferase (S. cerevisiae)","COQ5"
"360","MT001009",51004,"coenzyme Q6 monooxygenase","COQ6"
"361","MT000760",10229,"coenzyme Q7 homolog, ubiquinone (yeast)","COQ7"
"362","MT001206",57017,"coenzyme Q9","COQ9"
"363","MT000370",4512,"['cytochrome c oxidase subunit I']","COX1"
"364","MT000141",1352,"COX10 heme A:farnesyltransferase cytochrome c oxidase assembly factor","COX10"
"365","MT000142",1353,"COX11 cytochrome c oxidase copper chaperone","COX11"
"366","MT001439",84987,"COX14 cytochrome c oxidase assembly factor","COX14"
"367","MT000143",1355,"cytochrome c oxidase assembly homolog 15 (yeast)","COX15"
"368","MT001041",51241,"COX16 cytochrome c oxidase assembly homolog (S. cerevisiae)","COX16"
"369","MT000748",10063,"COX17 cytochrome c oxidase copper chaperone","COX17"
"370","MT001632",285521,"COX18 cytochrome c oxidase assembly factor","COX18"
