Gene.primaryIdentifier	Gene.name	Gene.symbol	Gene.description	Gene.chr	Gene.mitoEvidenceMitoCarta	Gene.mitoEvidenceIMPI	Gene.mitoEvidenceGO	Gene.mitoEvidenceHumanProteinAtlas	Gene.MTSipsort	Gene.MTSmitofates	Gene.MTSmitoprot	Gene.MTStargetP
ENSG00000111271	80724	ACAD10	acyl-CoA dehydrogenase family, member 10	12	true	true	true	false	1.0	0.743	0.971	0.896
ENSG00000240303	84129	ACAD11	acyl-CoA dehydrogenase family, member 11	3	true	true	true	false	0.0	0.0	0.056	0.057
ENSG00000151498	27034	ACAD8	acyl-CoA dehydrogenase family, member 8	11	true	true	true	false	0.0	0.939	0.9365	0.903
ENSG00000177646	28976	ACAD9	acyl-CoA dehydrogenase family, member 9	3	true	true	true	true	1.0	0.991	0.9965	0.961
ENSG00000115361	33	ACADL	acyl-CoA dehydrogenase, long chain	2	true	true	true	false	1.0	0.999	0.9312	0.961
ENSG00000117054	34	ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain	1	true	true	true	true	1.0	0.996	0.9948	0.901
ENSG00000122971	35	ACADS	acyl-CoA dehydrogenase, C-2 to C-3 short chain	12	true	true	true	false	1.0	0.996	0.9948	0.909
ENSG00000196177	36	ACADSB	acyl-CoA dehydrogenase, short/branched chain	10	true	true	true	true	1.0	0.996	0.6489	0.895
ENSG00000072778	37	ACADVL	acyl-CoA dehydrogenase, very long chain	17	true	true	true	true	1.0	0.999	0.9806	0.933
ENSG00000075239	38	ACAT1	acetyl-CoA acetyltransferase 1	11	true	true	true	true	1.0	0.996	0.9962	0.962
ENSG00000131473	47	ACLY	ATP citrate lyase	17	true	true	true	false	0.0	0.047	0.172	0.115
ENSG00000122729	48	ACO1	aconitase 1, soluble	9	true	true	true	true	0.0	0.0	0.0536	0.088
ENSG00000100412	50	ACO2	aconitase 2, mitochondrial	22	true	true	true	true	1.0	0.995	0.9158	0.831
ENSG00000112304	55856	ACOT13	acyl-CoA thioesterase 13	6	true	true	true	false	0.0	0.027	0.6324	0.525
ENSG00000119673	10965	ACOT2	acyl-CoA thioesterase 2	14	true	true	true	true	0.0	0.099	0.9014	0.684
ENSG00000097021	11332	ACOT7	acyl-CoA thioesterase 7	1	true	true	true	false	1.0	0.981	0.9116	0.946
ENSG00000101473	10005	ACOT8	acyl-CoA thioesterase 8	20	false	true	true	true	0.0	0.0	0.0124	0.084
ENSG00000123130	23597	ACOT9	acyl-CoA thioesterase 9	X	true	true	true	false	1.0	0.816	0.9379	0.807
ENSG00000134575	53	ACP2	acid phosphatase 2, lysosomal	11	false	true	false	false	0.0	0.012	0.6416	0.607
ENSG00000162836	51205	ACP6	acid phosphatase 6, lysophosphatidic	1	true	true	true	false	1.0	0.051	0.8644	0.317
ENSG00000167107	80221	ACSF2	acyl-CoA synthetase family member 2	17	true	true	true	false	1.0	0.967	0.795	0.932
ENSG00000176715	197322	ACSF3	acyl-CoA synthetase family member 3	16	true	true	true	false	1.0	0.908	0.9602	0.925
ENSG00000151726	2180	ACSL1	acyl-CoA synthetase long-chain family member 1	4	true	true	true	true	0.0	0.193	0.0644	0.289
ENSG00000068366	2182	ACSL4	acyl-CoA synthetase long-chain family member 4	X	true	true	true	true	0.0	0.006	0.7318	0.008
ENSG00000197142	51703	ACSL5	acyl-CoA synthetase long-chain family member 5	10	false	true	true	true	0.0	0.004	0.28	0.008
ENSG00000281938	""	ACSL6	acyl-CoA synthetase long-chain family member 6	5	false	true	true	false	0.0	0.435	0.0293	0.13
ENSG00000166743	116285	ACSM1	acyl-CoA synthetase medium-chain family member 1	16	true	true	true	false	1.0	0.523	0.726	0.875
ENSG00000183747	123876	ACSM2A	acyl-CoA synthetase medium-chain family member 2A	16	true	true	true	false	1.0	0.302	0.78	0.781
ENSG00000066813	348158	ACSM2B	acyl-CoA synthetase medium-chain family member 2B	16	false	true	true	false	1.0	0.305	0.7845	0.782
ENSG00000005187	6296	ACSM3	acyl-CoA synthetase medium-chain family member 3	16	true	true	true	false	1.0	0.984	0.9984	0.934
ENSG00000215009	341392	ACSM4	acyl-CoA synthetase medium-chain family member 4	12	false	true	true	false	1.0	0.139	0.9037	0.778
ENSG00000183549	54988	ACSM5	acyl-CoA synthetase medium-chain family member 5	16	true	true	true	false	1.0	0.691	0.9567	0.911
ENSG00000173124	142827	ACSM6	acyl-CoA synthetase medium-chain family member 6	10	false	true	true	false	1.0	0.181	0.5897	0.774
ENSG00000154930	84532	ACSS1	acyl-CoA synthetase short-chain family member 1	20	true	true	true	false	1.0	0.999	0.9966	0.901
ENSG00000111058	79611	ACSS3	acyl-CoA synthetase short-chain family member 3	12	true	true	true	true	0.0	0.436	0.9458	0.636
ENSG00000143632	58	ACTA1	actin, alpha 1, skeletal muscle	1	false	true	false	false	0.0	0.0	0.0164	0.06
ENSG00000075624	""	ACTB	actin, beta	7	false	true	false	false	0.0	0.0	0.0597	0.089
ENSG00000184009	""	ACTG1	actin gamma 1	17	false	true	false	false	0.0	0.0	0.0276	0.082
ENSG00000170634	98	ACYP2	acylphosphatase 2, muscle type	2	true	true	true	false	0.0	0.0	0.1605	0.2
ENSG00000163050	56997	ADCK3	aarF domain containing kinase 3	1	true	true	true	true	0.0	0.003	0.1605	0.077
ENSG00000123815	79934	ADCK4	aarF domain containing kinase 4	19	true	true	true	true	0.0	0.232	0.4671	0.425
ENSG00000173137	203054	ADCK5	aarF domain containing kinase 5	8	true	true	true	false	1.0	0.669	0.9947	0.82
ENSG00000147576	137872	ADHFE1	alcohol dehydrogenase, iron containing, 1	8	true	true	true	false	1.0	0.714	0.9923	0.952
ENSG00000101544	22850	ADNP2	ADNP homeobox 2	18	false	true	false	true	0.0	0.004	0.1256	0.094
ENSG00000141385	10939	AFG3L2	AFG3-like AAA ATPase 2	18	true	true	true	true	0.0	0.988	0.649	0.714
ENSG00000006530	""	AGK	acylglycerol kinase	7	true	true	true	true	0.0	0.392	0.7888	0.24
ENSG00000116771	79814	AGMAT	agmatine ureohydrolase (agmatinase)	1	true	true	true	false	1.0	0.871	0.4594	0.795
ENSG00000155189	55326	AGPAT5	1-acylglycerol-3-phosphate O-acyltransferase 5	8	true	true	true	false	0.0	0.048	0.9506	0.234
ENSG00000172482	189	AGXT	alanine-glyoxylate aminotransferase	2	true	true	true	false	0.0	0.011	0.7862	0.139
ENSG00000113492	64902	AGXT2	alanine--glyoxylate aminotransferase 2	5	true	true	true	false	0.0	0.658	0.9906	0.607
ENSG00000156709	9131	AIFM1	apoptosis-inducing factor, mitochondrion-associated, 1	X	true	true	true	false	0.0	0.862	0.7513	0.782
ENSG00000042286	84883	AIFM2	apoptosis-inducing factor, mitochondrion-associated, 2	10	true	true	true	false	0.0	0.0	0.0398	0.143
ENSG00000183773	150209	AIFM3	apoptosis-inducing factor, mitochondrion-associated, 3	22	true	true	true	false	0.0	0.0	0.005	0.065
ENSG00000106992	203	AK1	adenylate kinase 1	9	false	true	false	false	0.0	0.0	0.0063	0.045
ENSG00000004455	204	AK2	adenylate kinase 2	1	true	true	true	false	0.0	0.0	0.0118	0.118
ENSG00000147853	50808	AK3	adenylate kinase 3	9	true	true	true	false	1.0	0.242	0.8661	0.816
ENSG00000162433	205	AK4	adenylate kinase 4	1	true	true	true	true	1.0	0.5	0.6171	0.594
ENSG00000121057	8165	AKAP1	A kinase (PRKA) anchor protein 1	17	true	true	true	true	0.0	0.019	0.6402	0.219
ENSG00000108599	11216	AKAP10	A kinase (PRKA) anchor protein 10	17	true	true	true	false	1.0	0.0	0.705	0.498
ENSG00000227471	441282	AKR1B15	aldo-keto reductase family 1, member B15	7	false	true	true	false	1.0	0.016	0.155	0.133
ENSG00000053371	8574	AKR7A2	aldo-keto reductase family 7, member A2	1	true	true	true	false	1.0	0.999	0.9845	0.872
ENSG00000023330	211	ALAS1	5'-aminolevulinate synthase 1	3	true	true	true	true	1.0	0.984	0.97	0.723
ENSG00000158578	212	ALAS2	5'-aminolevulinate synthase 2	X	true	true	true	false	0.0	0.99	0.8363	0.353
ENSG00000059573	5832	ALDH18A1	aldehyde dehydrogenase 18 family, member A1	10	true	true	true	true	0.0	0.854	0.9731	0.522
ENSG00000165092	216	ALDH1A1	aldehyde dehydrogenase 1 family, member A1	9	false	true	false	false	0.0	0.0	0.0492	0.036
ENSG00000137124	219	ALDH1B1	aldehyde dehydrogenase 1 family, member B1	9	true	true	true	true	1.0	0.997	0.9959	0.873
ENSG00000144908	10840	ALDH1L1	aldehyde dehydrogenase 1 family, member L1	3	true	true	true	false	0.0	0.003	0.2356	0.107
ENSG00000136010	160428	ALDH1L2	aldehyde dehydrogenase 1 family, member L2	12	true	true	true	true	1.0	0.998	0.9978	0.812
ENSG00000111275	217	ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)	12	true	true	true	false	1.0	1.0	0.9994	0.902
ENSG00000072210	224	ALDH3A2	aldehyde dehydrogenase 3 family, member A2	17	true	true	true	false	1.0	0.223	0.087	0.963
ENSG00000159423	8659	ALDH4A1	aldehyde dehydrogenase 4 family, member A1	1	true	true	true	false	1.0	0.996	0.9764	0.925
ENSG00000112294	7915	ALDH5A1	aldehyde dehydrogenase 5 family, member A1	6	true	true	true	true	1.0	0.974	0.9866	0.842
ENSG00000119711	4329	ALDH6A1	aldehyde dehydrogenase 6 family, member A1	14	true	true	true	true	1.0	0.671	0.8822	0.885
ENSG00000164904	501	ALDH7A1	aldehyde dehydrogenase 7 family, member A1	5	true	true	true	true	1.0	0.82	0.8767	0.786
ENSG00000143149	223	ALDH9A1	aldehyde dehydrogenase 9 family, member A1	1	true	true	true	false	0.0	0.0	0.6797	0.341
ENSG00000136872	229	ALDOB	aldolase B, fructose-bisphosphate	9	false	true	false	false	0.0	0.003	0.2885	0.101
ENSG00000109107	230	ALDOC	aldolase C, fructose-bisphosphate	17	false	true	true	false	0.0	0.004	0.0209	0.083
ENSG00000100601	8846	ALKBH1	alkB homolog 1, histone H2A dioxygenase	14	true	true	true	false	0.0	0.02	0.0679	0.316
ENSG00000125652	84266	ALKBH7	alkB homolog 7	19	true	true	true	false	1.0	0.669	0.8605	0.727
ENSG00000242110	23600	AMACR	alpha-methylacyl-CoA racemase	5	true	true	true	false	0.0	0.0	0.0071	0.072
ENSG00000145020	275	AMT	aminomethyltransferase	3	true	true	true	false	1.0	0.996	0.9729	0.885
ENSG00000174606	90806	ANGEL2	angel homolog 2 (Drosophila)	1	true	true	false	true	0.0	0.349	0.6143	0.531
ENSG00000135046	301	ANXA1	annexin A1	9	false	true	true	false	0.0	0.007	0.065	0.059
ENSG00000109511	11199	ANXA10	annexin A10	4	false	true	true	false	0.0	0.007	0.0108	0.055
ENSG00000182718	302	ANXA2	annexin A2	15	false	true	false	false	0.0	0.0	0.0344	0.063
ENSG00000196975	307	ANXA4	annexin A4	2	false	true	false	false	0.0	0.033	0.0356	0.138
ENSG00000197043	309	ANXA6	annexin A6	5	false	true	true	false	0.0	0.0	0.1224	0.188
ENSG00000256100	""	AP000721.4	Uncharacterized protein 	11	false	true	true	false	1.0	0.997	0.951	0.847
ENSG00000255292	""	AP002884.2	Uncharacterized protein 	11	false	true	true	false	0.0	0.996	0.8929	0.818
ENSG00000161203	1173	AP2M1	adaptor-related protein complex 2, mu 1 subunit	3	false	true	true	false	0.0	0.017	0.0651	0.239
ENSG00000100823	328	APEX1	APEX nuclease (multifunctional DNA repair enzyme) 1	14	false	true	true	false	0.0	0.0	0.0298	0.074
ENSG00000169188	27301	APEX2	APEX nuclease (apurinic/apyrimidinic endonuclease) 2	X	true	true	true	false	0.0	0.082	0.7318	0.75
ENSG00000163382	128240	APOA1BP	apolipoprotein A-I binding protein	1	true	true	true	false	0.0	0.464	0.9598	0.829
ENSG00000091583	350	APOH	apolipoprotein H (beta-2-glycoprotein I)	17	false	true	false	false	0.0	0.0	0.3796	0.039
ENSG00000184831	79135	APOO	apolipoprotein O	X	true	true	true	true	1.0	0.02	0.8876	0.487
ENSG00000155008	139322	APOOL	apolipoprotein O-like	X	true	true	true	true	0.0	0.019	0.2574	0.418
ENSG00000256053	84334	APOPT1	apoptogenic 1, mitochondrial	14	true	true	true	false	0.0	0.557	0.9085	0.865
ENSG00000004059	381	ARF5	ADP-ribosylation factor 5	7	true	true	false	false	1.0	0.129	0.9201	0.634
ENSG00000081181	384	ARG2	arginase 2	14	true	true	true	true	1.0	0.996	0.9937	0.926
ENSG00000213465	402	ARL2	ADP-ribosylation factor-like 2	11	true	true	true	false	0.0	0.059	0.1407	0.28
ENSG00000102931	23568	ARL2BP	ADP-ribosylation factor-like 2 binding protein	16	false	true	true	false	0.0	0.0	0.1649	0.065
ENSG00000170632	83787	ARMC10	armadillo repeat containing 10	7	true	true	true	true	0.0	0.023	0.8588	0.297
ENSG00000254636	387715	ARMS2	age-related maculopathy susceptibility 2	10	true	true	true	false	0.0	0.0	0.0185	0.092
ENSG00000104763	427	ASAH1	N-acylsphingosine amidohydrolase (acid ceramidase) 1	8	false	true	false	false	0.0	0.025	0.0758	0.069
ENSG00000188611	56624	ASAH2	N-acylsphingosine amidohydrolase (non-lysosomal ceramidase) 2	10	true	true	true	false	0.0	0.009	0.0451	0.007
ENSG00000072182	55515	ASIC4	acid sensing (proton gated) ion channel family member 4	2	false	true	false	false	1.0	0.938	0.8931	0.886
ENSG00000138138	84896	ATAD1	ATPase family, AAA domain containing 1	10	true	true	true	true	0.0	0.03	0.2293	0.221
ENSG00000197785	55210	ATAD3A	ATPase family, AAA domain containing 3A	1	true	true	true	false	0.0	0.0	0.0027	0.081
ENSG00000160072	83858	ATAD3B	ATPase family, AAA domain containing 3B	1	true	true	true	false	0.0	0.0	0.001	0.08
ENSG00000075673	479	ATP12A	ATPase, H+/K+ transporting, nongastric, alpha polypeptide	13	false	true	false	false	0.0	0.0	0.0145	0.064
ENSG00000152234	498	ATP5A1	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle	18	true	true	true	true	1.0	1.0	0.9983	0.979
ENSG00000110955	506	ATP5B	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide	12	true	true	true	true	1.0	0.996	0.951	0.928
ENSG00000165629	509	ATP5C1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	10	true	true	true	false	0.0	0.996	0.9185	0.481
ENSG00000099624	513	ATP5D	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit	19	true	true	true	false	1.0	0.996	0.9471	0.884
ENSG00000124172	514	ATP5E	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit	20	true	true	true	false	1.0	0.078	0.4196	0.612
ENSG00000180389	""	ATP5EP2	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit pseudogene 2	13	false	true	true	false	1.0	0.145	0.3558	0.579
ENSG00000116459	515	ATP5F1	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit B1	1	true	true	true	true	0.0	0.996	0.8712	0.602
ENSG00000159199	516	ATP5G1	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C1 (subunit 9)	17	true	true	true	false	0.0	0.996	0.9741	0.562
ENSG00000135390	517	ATP5G2	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C2 (subunit 9)	12	true	true	true	false	1.0	0.86	0.9195	0.653
ENSG00000154518	518	ATP5G3	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C3 (subunit 9)	2	true	true	true	false	1.0	0.996	0.978	0.844
ENSG00000167863	10476	ATP5H	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit d	17	true	true	true	true	0.0	0.076	0.5386	0.076
ENSG00000169020	521	ATP5I	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit E	4	true	true	true	true	0.0	0.039	0.2014	0.353
ENSG00000154723	522	ATP5J	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F6	21	true	true	true	true	1.0	0.996	0.9873	0.938
ENSG00000241468	9551	ATP5J2	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F2	7	true	true	true	true	0.0	0.0	0.0051	0.071
ENSG00000248919	100526740	ATP5J2-PTCD1	ATP5J2-PTCD1 readthrough	7	false	true	false	false	0.0	0.0	0.0523	0.055
ENSG00000167283	10632	ATP5L	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit G	11	true	true	true	true	0.0	0.395	0.8652	0.22
ENSG00000249222	267020	ATP5L2	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit G2	22	false	true	true	true	0.0	0.286	0.8426	0.153
ENSG00000241837	539	ATP5O	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit	21	true	true	true	true	1.0	0.996	0.9926	0.894
ENSG00000125375	27109	ATP5S	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit s (factor B)	14	true	true	true	true	0.0	0.0	0.0602	0.111
ENSG00000105341	55101	ATP5SL	ATP5S-like	19	true	true	true	false	1.0	0.931	0.9017	0.664
ENSG00000185883	527	ATP6V0C	ATPase, H+ transporting, lysosomal 16kDa, V0 subunit c	16	false	true	false	false	0.0	0.0	0.0106	0.037
ENSG00000131100	529	ATP6V1E1	ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1	22	false	true	true	false	0.0	0.0	0.1017	0.074
ENSG00000123472	64756	ATPAF1	ATP synthase mitochondrial F1 complex assembly factor 1	1	true	true	true	true	0.0	0.047	0.8201	0.569
ENSG00000171953	91647	ATPAF2	ATP synthase mitochondrial F1 complex assembly factor 2	17	true	true	true	false	1.0	0.999	0.9262	0.827
ENSG00000130770	93974	ATPIF1	ATPase inhibitory factor 1	1	true	true	true	true	0.0	0.996	0.6279	0.637
ENSG00000088812	8455	ATRN	attractin	20	false	true	false	false	1.0	0.884	0.2644	0.659
ENSG00000148090	549	AUH	AU RNA binding protein/enoyl-CoA hydratase	9	true	true	true	false	0.0	0.976	0.9446	0.513
ENSG00000175756	54998	AURKAIP1	aurora kinase A interacting protein 1	1	true	true	true	true	1.0	0.903	0.9771	0.815
ENSG00000142920	113451	AZIN2	antizyme inhibitor 2	1	false	true	true	false	0.0	0.0	0.0455	0.044
ENSG00000002330	572	BAD	BCL2-associated agonist of cell death	11	true	true	true	true	0.0	0.0	0.0088	0.064
ENSG00000030110	578	BAK1	BCL2-antagonist/killer 1	6	true	true	true	false	0.0	0.0	0.0018	0.106
ENSG00000087088	581	BAX	BCL2-associated X protein	19	true	true	true	false	0.0	0.0	0.0172	0.046
ENSG00000105327	27113	BBC3	BCL2 binding component 3	19	false	true	true	false	0.0	0.034	0.995	0.327
ENSG00000129151	8424	BBOX1	butyrobetaine (gamma), 2-oxoglutarate dioxygenase (gamma-butyrobetaine hydroxylase) 1	11	false	true	true	false	0.0	0.0	0.0353	0.054
ENSG00000105552	587	BCAT2	branched chain amino-acid transaminase 2, mitochondrial	19	true	true	true	false	1.0	0.966	0.9722	0.684
ENSG00000248098	593	BCKDHA	branched chain keto acid dehydrogenase E1, alpha polypeptide	19	true	true	true	false	1.0	0.993	0.997	0.939
ENSG00000083123	594	BCKDHB	branched chain keto acid dehydrogenase E1, beta polypeptide	6	true	true	true	false	1.0	0.996	0.816	0.767
ENSG00000103507	10295	BCKDK	branched chain ketoacid dehydrogenase kinase	16	true	true	true	true	1.0	0.993	0.8491	0.898
ENSG00000171791	596	BCL2	B-cell CLL/lymphoma 2	18	true	true	true	false	0.0	0.033	0.0383	0.11
ENSG00000171552	598	BCL2L1	BCL2-like 1	20	true	true	true	true	0.0	0.0	0.2664	0.115
ENSG00000137875	10017	BCL2L10	BCL2-like 10 (apoptosis facilitator)	15	false	true	true	false	0.0	0.0	0.0212	0.05
ENSG00000153094	10018	BCL2L11	BCL2-like 11 (apoptosis facilitator)	2	false	true	true	false	0.0	0.0	0.0242	0.102
ENSG00000099968	23786	BCL2L13	BCL2-like 13 (apoptosis facilitator)	22	true	true	true	true	0.0	0.0	0.0031	0.081
ENSG00000197580	83875	BCO2	beta-carotene oxygenase 2	11	false	true	true	false	0.0	0.746	0.9901	0.77
ENSG00000074582	617	BCS1L	BC1 (ubiquinol-cytochrome c reductase) synthesis-like	2	true	true	true	false	0.0	0.003	0.0232	0.084
ENSG00000161267	""	BDH1	3-hydroxybutyrate dehydrogenase, type 1	3	true	true	true	true	1.0	0.991	0.9748	0.942
ENSG00000015475	637	BID	BH3 interacting domain death agonist	22	true	true	true	false	0.0	0.0	0.0263	0.046
ENSG00000259571	414899	BLID	BH3-like motif containing, cell death inducer	11	false	true	true	false	0.0	0.0	0.0222	0.052
ENSG00000259040	""	BLOC1S5-TXNDC5	BLOC1S5-TXNDC5 readthrough (NMD candidate)	6	false	true	false	false	0.0	0.0	0.3731	0.14
ENSG00000104081	90427	BMF	Bcl2 modifying factor	15	false	true	true	false	0.0	0.0	0.0283	0.082
ENSG00000176171	664	BNIP3	BCL2/adenovirus E1B 19kDa interacting protein 3	10	true	true	true	false	0.0	0.0	0.0088	0.091
ENSG00000104765	665	BNIP3L	BCL2/adenovirus E1B 19kDa interacting protein 3-like	8	true	true	true	true	0.0	0.0	0.0093	0.101
ENSG00000178096	51027	BOLA1	bolA family member 1	1	true	true	true	false	0.0	0.131	0.4613	0.567
ENSG00000163170	388962	BOLA3	bolA family member 3	2	true	true	false	false	0.0	0.57	0.9537	0.785
ENSG00000137274	670	BPHL	biphenyl hydrolase-like (serine hydrolase)	6	true	true	true	true	1.0	0.648	0.8529	0.92
ENSG00000162813	10380	BPNT1	3'(2'), 5'-bisphosphate nucleotidase 1	1	false	true	false	false	0.0	0.872	0.9877	0.534
ENSG00000172270	682	BSG	basigin (Ok blood group)	19	false	true	true	false	0.0	0.0	0.0505	0.136
ENSG00000169814	686	BTD	biotinidase	3	false	true	true	false	1.0	0.012	0.7619	0.7
ENSG00000124508	10385	BTN2A2	butyrophilin, subfamily 2, member A2	6	false	true	false	true	0.0	0.0	0.0061	0.004
ENSG00000005379	9256	BZRAP1	benzodiazepine receptor (peripheral) associated protein 1	17	false	true	true	true	0.0	0.0	0.0814	0.079
ENSG00000107815	56652	C10orf2	chromosome 10 open reading frame 2	10	true	true	true	false	1.0	0.367	0.9565	0.828
ENSG00000139637	""	C12orf10	chromosome 12 open reading frame 10	12	true	true	true	false	0.0	0.481	0.5566	0.518
ENSG00000130921	91574	C12orf65	chromosome 12 open reading frame 65	12	true	true	true	true	0.0	0.028	0.3915	0.201
ENSG00000133943	80017	C14orf159	chromosome 14 open reading frame 159	14	true	true	true	false	1.0	0.945	0.7664	0.898
ENSG00000087302	51637	C14orf166	chromosome 14 open reading frame 166	14	false	true	false	false	0.0	0.05	0.3715	0.177
ENSG00000156411	9556	C14orf2	chromosome 14 open reading frame 2	14	true	true	true	true	0.0	0.081	0.1134	0.041
ENSG00000169609	123207	C15orf40	chromosome 15 open reading frame 40	15	true	true	false	false	1.0	0.994	0.9677	0.88
ENSG00000166920	84419	C15orf48	chromosome 15 open reading frame 48	15	true	true	true	false	0.0	0.003	0.1176	0.127
ENSG00000189227	145853	C15orf61	chromosome 15 open reading frame 61	15	true	true	false	false	1.0	0.97	0.888	0.867
ENSG00000188277	643338	C15orf62	chromosome 15 open reading frame 62	15	false	true	true	false	1.0	0.39	0.8131	0.927
ENSG00000174109	283951	C16orf91	chromosome 16 open reading frame 91	16	true	true	false	false	0.0	0.973	0.8222	0.894
ENSG00000131943	83636	C19orf12	chromosome 19 open reading frame 12	19	false	true	true	false	0.0	0.0	0.1504	0.101
ENSG00000142444	90580	C19orf52	chromosome 19 open reading frame 52	19	true	true	false	true	1.0	0.939	0.8272	0.921
ENSG00000174917	125988	C19orf70	chromosome 19 open reading frame 70	19	true	true	true	true	0.0	0.029	0.7425	0.316
ENSG00000108561	708	C1QBP	complement component 1, q subcomponent binding protein	17	true	true	true	true	1.0	0.999	0.9583	0.908
ENSG00000162913	""	C1orf145	chromosome 1 open reading frame 145	1	false	true	false	false	1.0	0.285	0.8517	0.923
ENSG00000160221	8209	C21orf33	chromosome 21 open reading frame 33	21	true	true	true	true	0.0	0.994	0.9708	0.925
ENSG00000162972	79568	C2orf47	chromosome 2 open reading frame 47	2	true	true	true	true	1.0	0.917	0.9877	0.841
ENSG00000135974	79074	C2orf49	chromosome 2 open reading frame 49	2	false	true	false	true	0.0	0.0	0.0851	0.019
ENSG00000178074	205327	C2orf69	chromosome 2 open reading frame 69	2	true	true	false	false	0.0	0.005	0.2113	0.186
ENSG00000174928	285315	C3orf33	chromosome 3 open reading frame 33	3	true	true	false	false	0.0	0.0	0.0132	0.084
ENSG00000186493	153571	C5orf38	chromosome 5 open reading frame 38	5	false	true	false	false	1.0	0.871	0.9925	0.738
